job_id,job_title_short,job_title,job_location,job_schedule_type,company_name,salary_year_avg,job_posted_date
452146,Data Analyst,Data Analyst,"Edmonton, AB, Canada",Full-time,ATB Financial," $100,500 ",2023/05/31 12:15
1591043,Data Analyst,"Data Analyst, End to End Banking Operations","Edmonton, AB, Canada",Full-time,ATB Financial," $105,000 ",2023/06/30 6:13
973984,Data Analyst,Data Analyst - HoYolab and Content Creator,Canada,Full-time,HoYoverse," $100,500 ",2023/07/05 22:11
995289,Data Analyst,Operation Data Analyst - Genshin Impact,Canada,Full-time,HoYoverse," $100,500 ",2023/07/06 1:11
827579,Data Analyst,Data Analyst - Game Operations,Canada,Full-time,HoYoverse," $105,000 ",2023/07/06 14:10
1180796,Data Analyst,"Data Analyst, Growth",Canada,Full-time,Stripe," $111,175 ",2023/04/12 18:31
205303,Data Analyst,"Data Analyst, Risk User Experience",Canada,Full-time,Stripe," $111,175 ",2023/09/04 7:16
409209,Data Analyst,"Data Analyst (VBA, Tableau)",Canada,Full-time,Sun Life," $109,000 ",2023/11/09 19:11
1232872,Data Analyst,Analytics Lab Architect,Canada,Full-time,Swiss Re," $101,014 ",2023/12/24 8:20
629221,Data Analyst,Analytics Engineering Lead,Canada,Full-time,Swiss Re," $108,416 ",2023/11/27 11:52